run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_suite_size_at_80cov,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_suite_size_at_90cov,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_suite_size_at_95cov,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_second_suite_size_at_100cov,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_suite_size_at_80cov,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_suite_size_at_90cov,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_suite_size_at_95cov,greedy_cov_per_joule_energy_to_100cov_J,greedy_cov_per_joule_suite_size_at_100cov
19210934308,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19210933972,4766,39,ok,39,80532.35956666667,120243.28336666668,135265.53673333337,156012.00400000004,2123.2960000000003,5.0,2489.987,8.0,3539.627,10.0,4512.188,11.0,1352.1040000000003,6.0,2613.3,9.0,3526.869,10.0,4499.43,11.0
19210700380,4766,39,ok,39,80532.35956666667,120243.28336666668,135265.53673333337,156012.00400000004,2123.2960000000003,5.0,2489.987,8.0,3539.627,10.0,4512.188,11.0,1352.1040000000003,6.0,2613.3,9.0,3526.869,10.0,4499.43,11.0
19210698667,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19203075005,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19203035846,4766,39,ok,39,80532.35956666667,120243.28336666668,135265.53673333337,156012.00400000004,2123.2960000000003,5.0,2489.987,8.0,3539.627,10.0,4512.188,11.0,1352.1040000000003,6.0,2613.3,9.0,3526.869,10.0,4499.43,11.0
19201831705,4769,73,ok,73,91549.11653333336,129004.5232666667,129004.5232666667,129004.5232666667,114.217,1.0,238.64600000000002,2.0,238.64600000000002,2.0,238.64600000000002,2.0,114.217,1.0,238.64600000000002,2.0,238.64600000000002,2.0,238.64600000000002,2.0
19201785042,4766,39,ok,39,80532.35956666667,120243.28336666668,135265.53673333337,156012.00400000004,2123.2960000000003,5.0,2489.987,8.0,3539.627,10.0,4512.188,11.0,1352.1040000000003,6.0,2613.3,9.0,3526.869,10.0,4499.43,11.0
19199364067,4769,73,ok,73,91549.11653333336,129004.5232666667,129004.5232666667,129004.5232666667,114.217,1.0,238.64600000000002,2.0,238.64600000000002,2.0,238.64600000000002,2.0,114.217,1.0,238.64600000000002,2.0,238.64600000000002,2.0,238.64600000000002,2.0
19199050104,3764,97,ok,97,22794.987666666675,62877.320600000014,113939.90103333337,113939.90103333337,115.159,1.0,232.63600000000002,2.0,352.927,3.0,352.927,3.0,115.159,1.0,232.63600000000002,2.0,352.927,3.0,352.927,3.0
