run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_energy_to_100cov_J
16077081727,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16072510241,4649,265,ok,265,98130.14040000002,131991.85030000002,157162.7668,182458.0098000001,6140.599999999999,9668.193000000001,11279.993000000002,15866.054,5250.637,8552.505,11346.311,15836.155
16070439450,4642,18,ok,18,103587.35813333336,103587.35813333336,103587.35813333336,103587.35813333336,120.291,120.291,120.291,120.291,120.291,120.291,120.291,120.291
16066403918,4645,13,ok,13,98413.85886666669,115832.73626666672,145466.8169333334,145466.8169333334,245.37099999999998,360.005,516.738,516.738,245.37099999999998,360.005,516.738,516.738
16062078997,4019,23,ok,23,30341.379366666668,30341.379366666668,30341.379366666668,30341.379366666668,111.085,111.085,111.085,111.085,111.085,111.085,111.085,111.085
16060817530,4019,23,ok,23,30341.379366666668,30341.379366666668,30341.379366666668,30341.379366666668,111.085,111.085,111.085,111.085,111.085,111.085,111.085,111.085
16060396593,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16059607256,4642,18,ok,18,103587.35813333336,103587.35813333336,103587.35813333336,103587.35813333336,120.291,120.291,120.291,120.291,120.291,120.291,120.291,120.291
16059302727,4019,23,ok,23,30341.379366666668,30341.379366666668,30341.379366666668,30341.379366666668,111.085,111.085,111.085,111.085,111.085,111.085,111.085,111.085
16059287437,4646,0,skip_no_changed_lines,0,,,,,,,,,,,,
16059270677,4642,18,ok,18,103587.35813333336,103587.35813333336,103587.35813333336,103587.35813333336,120.291,120.291,120.291,120.291,120.291,120.291,120.291,120.291
16058963445,4019,23,ok,23,30341.379366666668,30341.379366666668,30341.379366666668,30341.379366666668,111.085,111.085,111.085,111.085,111.085,111.085,111.085,111.085
16058714443,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16053660212,4646,0,skip_no_changed_lines,0,,,,,,,,,,,,
16048445136,3261,67,ok,67,80397.3412,121510.30500000002,141123.97926666672,167391.26826666668,351.69,733.618,956.771,1435.894,351.69,848.077,956.764,1435.887
16048442796,4646,0,skip_no_changed_lines,0,,,,,,,,,,,,
16047057393,4645,13,ok,13,98413.85886666669,115832.73626666672,145466.8169333334,145466.8169333334,245.37099999999998,360.005,516.738,516.738,245.37099999999998,360.005,516.738,516.738
16046692161,4646,0,skip_no_changed_lines,0,,,,,,,,,,,,
16046195150,4646,0,skip_no_changed_lines,0,,,,,,,,,,,,
16045454576,4637,107,ok,107,115920.5018666667,137257.0209666667,143062.51040000006,170888.34893333341,701.802,1199.4560000000001,1669.871,2709.809,701.8019999999999,1199.3459999999998,1662.553,2704.614
16038137700,4645,13,ok,13,98413.85886666669,115832.73626666672,145466.8169333334,145466.8169333334,245.37099999999998,360.005,516.738,516.738,245.37099999999998,360.005,516.738,516.738
16036101916,4637,107,ok,107,115920.5018666667,137257.0209666667,143062.51040000006,170888.34893333341,701.802,1199.4560000000001,1669.871,2709.809,701.8019999999999,1199.3459999999998,1662.553,2704.614
16035906982,4637,107,ok,107,115920.5018666667,137257.0209666667,143062.51040000006,170888.34893333341,701.802,1199.4560000000001,1669.871,2709.809,701.8019999999999,1199.3459999999998,1662.553,2704.614
16024102061,4637,107,ok,107,115920.5018666667,137257.0209666667,143062.51040000006,170888.34893333341,701.802,1199.4560000000001,1669.871,2709.809,701.8019999999999,1199.3459999999998,1662.553,2704.614
16006534090,4640,53,ok,53,21213.024400000002,101510.86050000002,101510.86050000002,134546.5068,139.293,139.293,139.293,253.486,139.293,139.293,139.293,253.486
16006256061,4640,53,ok,53,21213.024400000002,101510.86050000002,101510.86050000002,134546.5068,139.293,139.293,139.293,253.486,139.293,139.293,139.293,253.486
16001044665,4637,107,ok,107,115920.5018666667,137257.0209666667,143062.51040000006,170888.34893333341,701.802,1199.4560000000001,1669.871,2709.809,701.8019999999999,1199.3459999999998,1662.553,2704.614
15998973469,4642,18,ok,18,103587.35813333336,103587.35813333336,103587.35813333336,103587.35813333336,120.291,120.291,120.291,120.291,120.291,120.291,120.291,120.291
15989223721,4637,107,ok,107,115920.5018666667,137257.0209666667,143062.51040000006,170888.34893333341,701.802,1199.4560000000001,1669.871,2709.809,701.8019999999999,1199.3459999999998,1662.553,2704.614
15988654066,4637,107,ok,107,115920.5018666667,137257.0209666667,143062.51040000006,170888.34893333341,701.802,1199.4560000000001,1669.871,2709.809,701.8019999999999,1199.3459999999998,1662.553,2704.614
15988160120,4637,107,ok,107,115920.5018666667,137257.0209666667,143062.51040000006,170888.34893333341,701.802,1199.4560000000001,1669.871,2709.809,701.8019999999999,1199.3459999999998,1662.553,2704.614
15986819703,4640,53,ok,53,21213.024400000002,101510.86050000002,101510.86050000002,134546.5068,139.293,139.293,139.293,253.486,139.293,139.293,139.293,253.486
